2022-09-27 16:25:31
1.四则运算题目1: 77+5+50=
2.四则运算题目2: 84-19-91=
3.四则运算题目3: 86-65-70=
4.四则运算题目4: 10-45+55=
5.四则运算题目5: 88-3=
6.四则运算题目6: 28+88+15=
7.四则运算题目7: 94+65-20=
8.四则运算题目8: 4+29=
9.四则运算题目9: 12+52=
10.四则运算题目10: 25-14=
11.四则运算题目11: 62-80=
12.四则运算题目12: 50-22=
13.四则运算题目13: 31+13-20=
14.四则运算题目14: 28+62=
15.四则运算题目15: 48+98=
16.四则运算题目16: 84+66=
17.四则运算题目17: 74-24+31=
18.四则运算题目18: 52+26+90=
19.四则运算题目19: 66-49=
20.四则运算题目20: 6-15+20=
21.四则运算题目21: 18+74=
22.四则运算题目22: 38+51=
23.四则运算题目23: 46-22=
24.四则运算题目24: 50-9=
25.四则运算题目25: 9-49+92=
26.四则运算题目26: 64-33=
27.四则运算题目27: 14+5=
28.四则运算题目28: 71+76+29=
29.四则运算题目29: 43+9=
30.四则运算题目30: 36+48-28=
31.四则运算题目31: 89-84+81=
32.四则运算题目32: 71-3+16=
33.四则运算题目33: 47-65=
34.四则运算题目34: 90-3=
35.四则运算题目35: 44+30+34=
36.四则运算题目36: 35+53=
37.四则运算题目37: 76+74=
38.四则运算题目38: 50+95=
39.四则运算题目39: 70-28=
40.四则运算题目40: 30-73=
41.四则运算题目41: 73-18=
42.四则运算题目42: 87-71=
43.四则运算题目43: 42-78=
44.四则运算题目44: 30-22=
45.四则运算题目45: 65-17=
46.四则运算题目46: 62+80=
47.四则运算题目47: 60-42=
48.四则运算题目48: 79+65-38=
49.四则运算题目49: 20+53=
50.四则运算题目50: 86-84=
51.四则运算题目51: 4-74+63=
52.四则运算题目52: 50-89+40=
53.四则运算题目53: 29+76=
54.四则运算题目54: 66+6=
55.四则运算题目55: 55+92+84=
56.四则运算题目56: 80-93=
57.四则运算题目57: 6+23=
58.四则运算题目58: 83-0=
59.四则运算题目59: 29-80=
60.四则运算题目60: 54+54+30=
61.四则运算题目61: 24+16+43=
62.四则运算题目62: 87-54=
63.四则运算题目63: 30-31-70=
64.四则运算题目64: 31-50=
65.四则运算题目65: 25+60=
66.四则运算题目66: 36+80=
67.四则运算题目67: 6+44+83=
68.四则运算题目68: 46+29=
69.四则运算题目69: 21+24+48=
70.四则运算题目70: 27+2=
71.四则运算题目71: 14+97+81=
72.四则运算题目72: 81-1-98=
73.四则运算题目73: 54+38+3=
74.四则运算题目74: 74-4-33=
75.四则运算题目75: 48+97=
76.四则运算题目76: 23-1+34=
77.四则运算题目77: 17-23+77=
78.四则运算题目78: 0-79+68=
79.四则运算题目79: 35-38=
80.四则运算题目80: 24-48-6=
81.四则运算题目81: 35-9=
82.四则运算题目82: 80-97=
83.四则运算题目83: 53-32-93=
84.四则运算题目84: 24-22=
85.四则运算题目85: 73-77=
86.四则运算题目86: 22+99+53=
87.四则运算题目87: 80+59-1=
88.四则运算题目88: 73-40=
89.四则运算题目89: 49+1-5=
90.四则运算题目90: 98+56=
91.四则运算题目91: 43+23=
92.四则运算题目92: 6-67=
93.四则运算题目93: 82-13=
94.四则运算题目94: 63-50=
95.四则运算题目95: 19-9-84=
96.四则运算题目96: 25-88+31=
97.四则运算题目97: 85+33=
98.四则运算题目98: 18-67+85=
99.四则运算题目99: 99+14=
100.四则运算题目100: 31+44-5=
