2022-09-27 16:25:31
1.四则运算题目1: 77+5+50=132
2.四则运算题目2: 84-19-91=-26
3.四则运算题目3: 86-65-70=-49
4.四则运算题目4: 10-45+55=20
5.四则运算题目5: 88-3=85
6.四则运算题目6: 28+88+15=131
7.四则运算题目7: 94+65-20=139
8.四则运算题目8: 4+29=33
9.四则运算题目9: 12+52=64
10.四则运算题目10: 25-14=11
11.四则运算题目11: 62-80=-18
12.四则运算题目12: 50-22=28
13.四则运算题目13: 31+13-20=24
14.四则运算题目14: 28+62=90
15.四则运算题目15: 48+98=146
16.四则运算题目16: 84+66=150
17.四则运算题目17: 74-24+31=81
18.四则运算题目18: 52+26+90=168
19.四则运算题目19: 66-49=17
20.四则运算题目20: 6-15+20=11
21.四则运算题目21: 18+74=92
22.四则运算题目22: 38+51=89
23.四则运算题目23: 46-22=24
24.四则运算题目24: 50-9=41
25.四则运算题目25: 9-49+92=52
26.四则运算题目26: 64-33=31
27.四则运算题目27: 14+5=19
28.四则运算题目28: 71+76+29=176
29.四则运算题目29: 43+9=52
30.四则运算题目30: 36+48-28=56
31.四则运算题目31: 89-84+81=86
32.四则运算题目32: 71-3+16=84
33.四则运算题目33: 47-65=-18
34.四则运算题目34: 90-3=87
35.四则运算题目35: 44+30+34=108
36.四则运算题目36: 35+53=88
37.四则运算题目37: 76+74=150
38.四则运算题目38: 50+95=145
39.四则运算题目39: 70-28=42
40.四则运算题目40: 30-73=-43
41.四则运算题目41: 73-18=55
42.四则运算题目42: 87-71=16
43.四则运算题目43: 42-78=-36
44.四则运算题目44: 30-22=8
45.四则运算题目45: 65-17=48
46.四则运算题目46: 62+80=142
47.四则运算题目47: 60-42=18
48.四则运算题目48: 79+65-38=106
49.四则运算题目49: 20+53=73
50.四则运算题目50: 86-84=2
51.四则运算题目51: 4-74+63=-7
52.四则运算题目52: 50-89+40=1
53.四则运算题目53: 29+76=105
54.四则运算题目54: 66+6=72
55.四则运算题目55: 55+92+84=231
56.四则运算题目56: 80-93=-13
57.四则运算题目57: 6+23=29
58.四则运算题目58: 83-0=83
59.四则运算题目59: 29-80=-51
60.四则运算题目60: 54+54+30=138
61.四则运算题目61: 24+16+43=83
62.四则运算题目62: 87-54=33
63.四则运算题目63: 30-31-70=-71
64.四则运算题目64: 31-50=-19
65.四则运算题目65: 25+60=85
66.四则运算题目66: 36+80=116
67.四则运算题目67: 6+44+83=133
68.四则运算题目68: 46+29=75
69.四则运算题目69: 21+24+48=93
70.四则运算题目70: 27+2=29
71.四则运算题目71: 14+97+81=192
72.四则运算题目72: 81-1-98=-18
73.四则运算题目73: 54+38+3=95
74.四则运算题目74: 74-4-33=37
75.四则运算题目75: 48+97=145
76.四则运算题目76: 23-1+34=56
77.四则运算题目77: 17-23+77=71
78.四则运算题目78: 0-79+68=-11
79.四则运算题目79: 35-38=-3
80.四则运算题目80: 24-48-6=-30
81.四则运算题目81: 35-9=26
82.四则运算题目82: 80-97=-17
83.四则运算题目83: 53-32-93=-72
84.四则运算题目84: 24-22=2
85.四则运算题目85: 73-77=-4
86.四则运算题目86: 22+99+53=174
87.四则运算题目87: 80+59-1=138
88.四则运算题目88: 73-40=33
89.四则运算题目89: 49+1-5=45
90.四则运算题目90: 98+56=154
91.四则运算题目91: 43+23=66
92.四则运算题目92: 6-67=-61
93.四则运算题目93: 82-13=69
94.四则运算题目94: 63-50=13
95.四则运算题目95: 19-9-84=-74
96.四则运算题目96: 25-88+31=-32
97.四则运算题目97: 85+33=118
98.四则运算题目98: 18-67+85=36
99.四则运算题目99: 99+14=113
100.四则运算题目100: 31+44-5=70
